user,time,,checkin_checkout,,
19,2/8/2022 20:51,1,1,1,0
9,2/8/2022 20:52,1,1,1,0
6,2/8/2022 20:52,1,1,1,0
7,2/8/2022 20:52,1,1,1,0
28,2/8/2022 20:53,1,1,1,0
3,2/8/2022 20:55,1,1,1,0
12,2/8/2022 20:58,1,1,1,0
11,2/8/2022 21:02,1,1,1,0
15,2/8/2022 21:10,1,1,1,0
1,2/8/2022 21:13,1,1,1,0
25,2/8/2022 23:04,1,1,1,0
8,2/9/2022 0:59,1,1,1,0
8,2/9/2022 11:30,1,0,1,0
11,2/9/2022 11:33,1,0,1,0
20,2/9/2022 11:49,1,0,1,0
18,2/9/2022 11:49,1,0,1,0
28,2/9/2022 12:04,1,0,1,0
7,2/9/2022 12:25,1,0,1,0
200,2/9/2022 12:27,1,0,1,0
6,2/9/2022 12:37,1,0,1,0
9,2/9/2022 12:45,1,0,1,0
3,2/9/2022 13:01,1,0,1,0
10,2/9/2022 13:01,1,0,1,0
17,2/9/2022 13:02,1,0,1,0
12,2/9/2022 13:06,1,0,1,0
14,2/9/2022 13:29,1,0,1,0
1,2/9/2022 13:39,1,0,1,0
4,2/9/2022 13:45,1,0,1,0
19,2/9/2022 13:45,1,0,1,0
13,2/9/2022 14:17,1,0,1,0
15,2/9/2022 15:44,1,0,1,0
29,2/9/2022 17:16,1,0,1,0
19,2/9/2022 19:57,1,1,1,0
13,2/9/2022 20:08,1,1,1,0
4,2/9/2022 20:23,1,1,1,0
17,2/9/2022 20:24,1,1,1,0
1,2/9/2022 20:24,1,1,1,0
6,2/9/2022 20:26,1,1,1,0
200,2/9/2022 20:31,1,1,1,0
29,2/9/2022 20:32,1,1,1,0
28,2/9/2022 20:32,1,1,1,0
11,2/9/2022 20:32,1,1,1,0
12,2/9/2022 20:34,1,1,1,0
3,2/9/2022 20:36,1,1,1,0
10,2/9/2022 20:36,1,1,1,0
14,2/9/2022 20:42,1,1,1,0
7,2/9/2022 20:44,1,1,1,0
9,2/9/2022 20:56,1,1,1,0
18,2/9/2022 20:59,1,1,1,0
20,2/9/2022 21:01,1,1,1,0
15,2/9/2022 21:25,1,1,1,0
8,2/10/2022 2:28,1,1,1,0
8,2/10/2022 10:40,1,0,1,0
11,2/10/2022 11:04,1,0,1,0
18,2/10/2022 12:19,1,0,1,0
9,2/10/2022 12:19,1,0,1,0
20,2/10/2022 12:23,1,0,1,0
28,2/10/2022 12:31,1,0,1,0
1,2/10/2022 13:01,1,0,1,0
4,2/10/2022 13:01,1,0,1,0
14,2/10/2022 13:04,1,0,1,0
12,2/10/2022 13:04,1,0,1,0
6,2/10/2022 13:04,1,0,1,0
7,2/10/2022 13:09,1,0,1,0
19,2/10/2022 13:14,1,0,1,0
13,2/10/2022 13:24,1,0,1,0
10,2/10/2022 13:49,1,0,1,0
3,2/10/2022 13:50,1,0,1,0
5,2/10/2022 14:19,1,0,1,0
15,2/10/2022 14:39,1,0,1,0
29,2/10/2022 15:23,1,0,1,0
13,2/10/2022 17:34,1,1,1,0
4,2/10/2022 20:01,1,1,1,0
19,2/10/2022 20:05,1,1,1,0
5,2/10/2022 20:06,1,1,1,0
6,2/10/2022 20:06,1,1,1,0
28,2/10/2022 20:09,1,1,1,0
18,2/10/2022 20:09,1,1,1,0
20,2/10/2022 20:09,1,1,1,0
11,2/10/2022 20:09,1,1,1,0
3,2/10/2022 20:12,1,1,1,0
10,2/10/2022 20:12,1,1,1,0
12,2/10/2022 20:12,1,1,1,0
14,2/10/2022 20:14,1,1,1,0
1,2/10/2022 20:18,1,1,1,0
9,2/10/2022 20:25,1,1,1,0
7,2/10/2022 20:25,1,1,1,0
15,2/10/2022 21:17,1,1,1,0
8,2/10/2022 23:20,1,1,1,0
8,2/11/2022 10:39,1,0,1,0
7,2/11/2022 11:39,1,0,1,0
